padilla_sources,d15N,d13C
eelgrass habitat,11.292,-8.01507142778939
eelgrass habitat,11.066,-7.64616780722423
eelgrass habitat,10.554,-8.26293407882519
eelgrass habitat,11.7586363636364,-7.81450574108162
eelgrass habitat,10.7566363636364,-7.3414545512509
eelgrass habitat,11.3332727272727,-8.31168345814631
eelgrass habitat,11.2352727272727,-9.05472796516132
eelgrass habitat,10.9682727272727,-8.70836638040535
eelgrass habitat,11.6072727272727,-8.02556600336283
eelgrass habitat,11.2892727272727,-8.33727051407477
eelgrass habitat,11.1462727272727,-9.74962167805788
eelgrass habitat,11.8472727272727,-8.47353083639486
eelgrass habitat,11.6632727272727,-9.28455227700434
eelgrass habitat,11.4422727272727,-9.07764882564665
eelgrass habitat,11.737,-8.41523959878411
eelgrass habitat,9.265,-8.37710861063133
eelgrass habitat,9.224,-8.68174386350806
eelgrass habitat,10.703,-12.2668308467494
eelgrass habitat,10.249,-11.968797886408
eelgrass habitat,10.511,-12.0908719135465
eelgrass habitat,9.357,-8.37216370850787
eelgrass habitat,10.406,-11.2669721150386
eelgrass habitat,8.881,-10.4536875790649
eelgrass habitat,8.896,-10.0035543018034
eelgrass habitat,8.907,-8.29409550950343
pelagic,7.583,-19.9518254807987
pelagic,7.537,-20.1742161442238
pelagic,7.601,-19.9418569943108
pelagic,7.568,-20.3539771789305
pelagic,7.475,-19.7732506349124
